file_path,class
Single/noisy_88_single_3.wav,Single
Single/noisy_89_single_3.wav,Single
Single/noisy_90_single_3.wav,Single
Single/noisy_91_single_3.wav,Single
Single/noisy_92_single_3.wav,Single
Single/noisy_93_single_3.wav,Single
Single/noisy_94_single_3.wav,Single
Single/noisy_95_single_3.wav,Single
Single/noisy_96_single_3.wav,Single
Single/noisy_97_single_3.wav,Single
Single/noisy_98_single_3.wav,Single
Single/noisy_99_single_3.wav,Single
Single/noisy_100_single_3.wav,Single
Single/noisy_101_single_3.wav,Single
Single/noisy_102_single_3.wav,Single
Single/noisy_103_single_3.wav,Single
Single/noisy_104_single_3.wav,Single
Single/noisy_105_single_3.wav,Single
Single/noisy_106_single_3.wav,Single
Single/noisy_107_single_3.wav,Single
Single/noisy_108_single_3.wav,Single
Single/noisy_109_single_3.wav,Single
Single/noisy_110_single_3.wav,Single
Single/noisy_111_single_3.wav,Single
Single/noisy_112_single_3.wav,Single
Single/noisy_113_single_3.wav,Single
Single/noisy_114_single_3.wav,Single
Single/noisy_115_single_3.wav,Single
Single/noisy_116_single_3.wav,Single
Single/noisy_117_single_3.wav,Single
Single/noisy_118_single_3.wav,Single
Single/noisy_119_single_3.wav,Single
Single/shifted_single_14.wav,Single
Single/noisy_0_single_14.wav,Single
Single/noisy_1_single_14.wav,Single
Single/noisy_2_single_14.wav,Single
Single/noisy_3_single_14.wav,Single
Single/noisy_4_single_14.wav,Single
Single/noisy_5_single_14.wav,Single
Single/noisy_6_single_14.wav,Single
Single/noisy_7_single_14.wav,Single
Single/noisy_8_single_14.wav,Single
Single/noisy_9_single_14.wav,Single
Single/noisy_10_single_14.wav,Single
Single/noisy_11_single_14.wav,Single
Single/noisy_12_single_14.wav,Single
Single/noisy_13_single_14.wav,Single
Single/noisy_14_single_14.wav,Single
Single/noisy_15_single_14.wav,Single
Single/noisy_16_single_14.wav,Single
Single/noisy_17_single_14.wav,Single
Single/noisy_18_single_14.wav,Single
Single/noisy_19_single_14.wav,Single
Single/noisy_20_single_14.wav,Single
Single/noisy_21_single_14.wav,Single
Single/noisy_22_single_14.wav,Single
Single/noisy_23_single_14.wav,Single
Single/noisy_24_single_14.wav,Single
Single/noisy_25_single_14.wav,Single
Single/noisy_26_single_14.wav,Single
Single/noisy_27_single_14.wav,Single
Single/noisy_28_single_14.wav,Single
Single/noisy_29_single_14.wav,Single
Single/noisy_30_single_14.wav,Single
Single/noisy_31_single_14.wav,Single
Single/noisy_32_single_14.wav,Single
Single/noisy_33_single_14.wav,Single
Single/noisy_34_single_14.wav,Single
Single/noisy_35_single_14.wav,Single
Single/noisy_36_single_14.wav,Single
Single/noisy_37_single_14.wav,Single
Single/noisy_38_single_14.wav,Single
Single/noisy_39_single_14.wav,Single
Single/noisy_40_single_14.wav,Single
